%time,field.header.seq,field.header.stamp,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4,field.effort5
1.4865591061398E+018,183,1.48655910613964E+018,1.0875209656,1.0875209656,1.0875209656,1.0875209656,1.0875209656,1.0875209656,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910614036E+018,184,1.48655910614026E+018,1.0927886935,1.0927886935,1.0927886935,1.0927886935,1.0927886935,1.0927886935,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910614143E+018,185,1.48655910614127E+018,1.098045636,1.098045636,1.098045636,1.098045636,1.098045636,1.098045636,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910614246E+018,186,1.48655910614228E+018,1.1032917413,1.1032917413,1.1032917413,1.1032917413,1.1032917413,1.1032917413,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910614336E+018,187,1.48655910614326E+018,1.1085269575,1.1085269575,1.1085269575,1.1085269575,1.1085269575,1.1085269575,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910614431E+018,188,1.48655910614424E+018,1.113751233,1.113751233,1.113751233,1.113751233,1.113751233,1.113751233,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910614534E+018,189,1.48655910614524E+018,1.1189645162,1.1189645162,1.1189645162,1.1189645162,1.1189645162,1.1189645162,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910614634E+018,190,1.48655910614624E+018,1.1241667557,1.1241667557,1.1241667557,1.1241667557,1.1241667557,1.1241667557,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910614742E+018,191,1.48655910614728E+018,1.1293579001,1.1293579001,1.1293579001,1.1293579001,1.1293579001,1.1293579001,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910614835E+018,192,1.48655910614825E+018,1.1345378983,1.1345378983,1.1345378983,1.1345378983,1.1345378983,1.1345378983,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910614943E+018,193,1.48655910614927E+018,1.1397066989,1.1397066989,1.1397066989,1.1397066989,1.1397066989,1.1397066989,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910615038E+018,194,1.48655910615027E+018,1.1448642512,1.1448642512,1.1448642512,1.1448642512,1.1448642512,1.1448642512,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910615135E+018,195,1.48655910615126E+018,1.1500105041,1.1500105041,1.1500105041,1.1500105041,1.1500105041,1.1500105041,0,0,0,0,0,0,0,0,0,0,0,0
1.4865591061523E+018,196,1.48655910615225E+018,1.1551454068,1.1551454068,1.1551454068,1.1551454068,1.1551454068,1.1551454068,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910615335E+018,197,1.48655910615326E+018,1.1602689088,1.1602689088,1.1602689088,1.1602689088,1.1602689088,1.1602689088,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910615438E+018,198,1.48655910615426E+018,1.1653809593,1.1653809593,1.1653809593,1.1653809593,1.1653809593,1.1653809593,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910615532E+018,199,1.48655910615523E+018,1.1704815081,1.1704815081,1.1704815081,1.1704815081,1.1704815081,1.1704815081,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910615633E+018,200,1.48655910615625E+018,1.1755705046,1.1755705046,1.1755705046,1.1755705046,1.1755705046,1.1755705046,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910615732E+018,201,1.48655910615725E+018,1.1806478987,1.1806478987,1.1806478987,1.1806478987,1.1806478987,1.1806478987,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910615836E+018,202,1.48655910615824E+018,1.1857136403,1.1857136403,1.1857136403,1.1857136403,1.1857136403,1.1857136403,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910615938E+018,203,1.48655910615925E+018,1.1907676794,1.1907676794,1.1907676794,1.1907676794,1.1907676794,1.1907676794,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910616035E+018,204,1.48655910616025E+018,1.1958099661,1.1958099661,1.1958099661,1.1958099661,1.1958099661,1.1958099661,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910616138E+018,205,1.48655910616124E+018,1.2008404507,1.2008404507,1.2008404507,1.2008404507,1.2008404507,1.2008404507,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910616239E+018,206,1.48655910616224E+018,1.2058590834,1.2058590834,1.2058590834,1.2058590834,1.2058590834,1.2058590834,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910616334E+018,207,1.48655910616324E+018,1.2108658148,1.2108658148,1.2108658148,1.2108658148,1.2108658148,1.2108658148,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910616435E+018,208,1.48655910616425E+018,1.2158605954,1.2158605954,1.2158605954,1.2158605954,1.2158605954,1.2158605954,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910616535E+018,209,1.48655910616524E+018,1.220843376,1.220843376,1.220843376,1.220843376,1.220843376,1.220843376,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910616635E+018,210,1.48655910616624E+018,1.2258141073,1.2258141073,1.2258141073,1.2258141073,1.2258141073,1.2258141073,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910616735E+018,211,1.48655910616724E+018,1.2307727404,1.2307727404,1.2307727404,1.2307727404,1.2307727404,1.2307727404,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910616832E+018,212,1.48655910616826E+018,1.2357192262,1.2357192262,1.2357192262,1.2357192262,1.2357192262,1.2357192262,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910616933E+018,213,1.48655910616925E+018,1.240653516,1.240653516,1.240653516,1.240653516,1.240653516,1.240653516,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910617033E+018,214,1.48655910617026E+018,1.245575561,1.245575561,1.245575561,1.245575561,1.245575561,1.245575561,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910617135E+018,215,1.48655910617128E+018,1.2504853127,1.2504853127,1.2504853127,1.2504853127,1.2504853127,1.2504853127,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910617231E+018,216,1.48655910617226E+018,1.2553827226,1.2553827226,1.2553827226,1.2553827226,1.2553827226,1.2553827226,0,0,0,0,0,0,0,0,0,0,0,0
1.4865591061733E+018,217,1.48655910617324E+018,1.2602677424,1.2602677424,1.2602677424,1.2602677424,1.2602677424,1.2602677424,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910617433E+018,218,1.48655910617424E+018,1.2651403238,1.2651403238,1.2651403238,1.2651403238,1.2651403238,1.2651403238,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910617539E+018,219,1.48655910617524E+018,1.2700004189,1.2700004189,1.2700004189,1.2700004189,1.2700004189,1.2700004189,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910617635E+018,220,1.48655910617624E+018,1.2748479795,1.2748479795,1.2748479795,1.2748479795,1.2748479795,1.2748479795,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910617732E+018,221,1.48655910617724E+018,1.2796829579,1.2796829579,1.2796829579,1.2796829579,1.2796829579,1.2796829579,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910617838E+018,222,1.48655910617824E+018,1.2845053064,1.2845053064,1.2845053064,1.2845053064,1.2845053064,1.2845053064,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910617938E+018,223,1.48655910617926E+018,1.2893149773,1.2893149773,1.2893149773,1.2893149773,1.2893149773,1.2893149773,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910618036E+018,224,1.48655910618025E+018,1.2941119231,1.2941119231,1.2941119231,1.2941119231,1.2941119231,1.2941119231,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910618139E+018,225,1.48655910618124E+018,1.2988960967,1.2988960967,1.2988960967,1.2988960967,1.2988960967,1.2988960967,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910618239E+018,226,1.48655910618224E+018,1.3036674506,1.3036674506,1.3036674506,1.3036674506,1.3036674506,1.3036674506,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910618335E+018,227,1.48655910618324E+018,1.3084259379,1.3084259379,1.3084259379,1.3084259379,1.3084259379,1.3084259379,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910618434E+018,228,1.48655910618424E+018,1.3131715115,1.3131715115,1.3131715115,1.3131715115,1.3131715115,1.3131715115,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910618534E+018,229,1.48655910618526E+018,1.3179041247,1.3179041247,1.3179041247,1.3179041247,1.3179041247,1.3179041247,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910618638E+018,230,1.48655910618625E+018,1.3226237307,1.3226237307,1.3226237307,1.3226237307,1.3226237307,1.3226237307,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910618732E+018,231,1.48655910618725E+018,1.3273302829,1.3273302829,1.3273302829,1.3273302829,1.3273302829,1.3273302829,0,0,0,0,0,0,0,0,0,0,0,0
1.4865591061883E+018,232,1.48655910618824E+018,1.3320237349,1.3320237349,1.3320237349,1.3320237349,1.3320237349,1.3320237349,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910618934E+018,233,1.48655910618924E+018,1.3367040403,1.3367040403,1.3367040403,1.3367040403,1.3367040403,1.3367040403,0,0,0,0,0,0,0,0,0,0,0,0
1.48655910619031E+018,234,1.48655910619026E+018,1.3413711531,1.3413711531,1.3413711531,1.3413711531,1.3413711531,1.3413711531,0,0,0,0,0,0,0,0,0,0,0,0
